04/01/19,00:00,250250042,Boston - Roxbury,-5,NOY,PPB,7.3,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,OZONE,PPB,30,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,PM2.5,UG/M3,6,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,RHUM,PERCENT,81,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,RWD,DEGREES,278.5,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,RWS,KNOTS,4.3,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,SO2,PPB,0,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,SRAD,WATTS/M2,2,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,TEMP,C,6,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,WD,DEGREES,274,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,WS,M/S,2.6,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,BARPR,MILLIBAR,1003.7,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,CO,PPM,0.12,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,NO,PPB,2,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,NO2,PPB,10,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,NOX,PPB,12,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,PM2.5,UG/M3,3,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,RHUM,PERCENT,81,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,SRAD,WATTS/M2,1,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,TEMP,C,6,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,WD,DEGREES,287,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250044,Boston-Von Hillern,-5,WS,M/S,4.1,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,BARPR,MILLIBAR,1025.1,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,CO,PPM,0.19,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,NO,PPB,0,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,NO2,PPB,7,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,NOX,PPB,7,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,NOY,PPB,7.4,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,OZONE,PPB,33,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,PM2.5,UG/M3,3,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,RHUM,PERCENT,56,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,RWD,DEGREES,354.2,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,RWS,KNOTS,4.7,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,SO2,PPB,0,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,SRAD,WATTS/M2,2,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,TEMP,C,10,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,WD,DEGREES,354,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250042,Boston - Roxbury,-5,WS,M/S,2.7,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,BARPR,MILLIBAR,1026.4,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,CO,PPM,0.11,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,NO,PPB,2,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,NO2,PPB,11,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,NOX,PPB,13,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,RHUM,PERCENT,58,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,SRAD,WATTS/M2,0,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,TEMP,C,10,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,WD,DEGREES,323,Massachusetts Dept. of Environmental Protection
05/01/19,00:00,250250044,Boston-Von Hillern,-5,WS,M/S,3.9,Massachusetts Dept. of Environmental Protection
06/01/19,00:00,250250002,BOSTON-KENMORE,-5,NO,PPB,4,Massachusetts Dept. of Environmental Protection
06/01/19,00:00,250250002,BOSTON-KENMORE,-5,NO2,PPB,17,Massachusetts Dept. of Environmental Protection
06/01/19,00:00,250250002,BOSTON-KENMORE,-5,NOX,PPB,21,Massachusetts Dept. of Environmental Protection
