FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
34,Jamaica Plain,240,104,900.54,584,363,259,171,0,5,1,15,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
35,Jamaica Plain,456,166,875.52,1567,918,752,260,1,1,0,0,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
36,Jamaica Plain,740,403,2368.06,1407,1551,1148,405,1,8,1,15,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
37,Roslindale,443,843,1341.12,389,1002,159,335,0,18,0,0,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
38,Roslindale,659,461,1504.48,1736,942,481,347,0,20,2,33,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
39,Roslindale,840,501,1283.32,954,1139,638,529,0,4,0,0,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
40,Roslindale,853,303,1298.43,2449,1288,985,440,0,11,0,0,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
41,Mattapan,1413,507,1593.41,4342,2665,2158,900,0,10,3,49,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
42,Mattapan,918,366,1149.59,3126,1193,827,461,0,3,0,0,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
43,Mattapan,1239,777,1926.43,4778,2252,1475,914,1,9,2,30,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
44,Roslindale,1136,698,2163.21,5347,2216,1518,1098,0,22,0,0,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
45,Mattapan,945,478,1544.95,3139,1793,1315,507,0,21,2,34,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
