date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-04-28,2045,Weymouth,MA,42.2459,-70.9628,42.0,11.0,,1.0,Good
2022-04-29,2045,Weymouth,MA,42.2459,-70.9628,39.0,15.0,,1.0,Good
2022-04-30,2045,Weymouth,MA,42.2459,-70.9628,38.0,18.0,,1.0,Good
2022-05-01,2045,Weymouth,MA,42.2459,-70.9628,44.0,20.0,,1.0,Good
2022-05-02,2045,Weymouth,MA,42.2459,-70.9628,39.0,22.0,,1.0,Good
2022-05-03,2045,Weymouth,MA,42.2459,-70.9628,,15.0,,1.0,Good
2022-05-04,2045,Weymouth,MA,42.2459,-70.9628,29.0,24.0,,1.0,Good
2022-05-05,2045,Weymouth,MA,42.2459,-70.9628,42.0,21.0,,1.0,Good
2022-05-06,2045,Weymouth,MA,42.2459,-70.9628,44.0,23.0,,1.0,Good
2022-05-07,2045,Weymouth,MA,42.2459,-70.9628,39.0,32.0,,1.0,Good
2022-05-08,2045,Weymouth,MA,42.2459,-70.9628,42.0,26.0,,1.0,Good
2022-05-09,2045,Weymouth,MA,42.2459,-70.9628,48.0,29.0,,1.0,Good
2022-05-10,2045,Weymouth,MA,42.2459,-70.9628,46.0,35.0,,1.0,Good
2022-05-11,2045,Weymouth,MA,42.2459,-70.9628,42.0,36.0,,1.0,Good
2022-05-12,2045,Weymouth,MA,42.2459,-70.9628,31.0,14.0,,1.0,Good
2022-05-13,2045,Weymouth,MA,42.2459,-70.9628,26.0,19.0,,1.0,Good
2022-05-14,2045,Weymouth,MA,42.2459,-70.9628,32.0,19.0,,1.0,Good
2022-05-15,2045,Weymouth,MA,42.2459,-70.9628,38.0,15.0,,1.0,Good
2022-05-16,2045,Weymouth,MA,42.2459,-70.9628,44.0,24.0,,1.0,Good
2022-05-17,2045,Weymouth,MA,42.2459,-70.9628,42.0,15.0,,1.0,Good
2022-05-18,2045,Weymouth,MA,42.2459,-70.9628,47.0,21.0,,1.0,Good
2022-05-19,2045,Weymouth,MA,42.2459,-70.9628,40.0,22.0,,1.0,Good
2022-05-20,2045,Weymouth,MA,42.2459,-70.9628,46.0,26.0,,1.0,Good
2022-05-21,2045,Weymouth,MA,42.2459,-70.9628,36.0,42.0,,1.0,Good
2022-05-22,2045,Weymouth,MA,42.2459,-70.9628,54.0,52.0,,2.0,Moderate
2022-05-23,2045,Weymouth,MA,42.2459,-70.9628,31.0,16.0,,1.0,Good
2022-05-24,2045,Weymouth,MA,42.2459,-70.9628,27.0,17.0,,1.0,Good
2022-05-25,2045,Weymouth,MA,42.2459,-70.9628,34.0,16.0,,1.0,Good
