X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7915196.40008036,5217963.14304427,S32034,Perry Park,42.37927325,-71.10341903,Somerville,Yes,19,102
-7908656.5436359,5213584.45211065,C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Boston,Yes,19,103
-7907611.82023356,5215814.14404567,A32029,Piers Park,42.3650112,-71.03528559,Boston,Yes,15,104
-7916940.21656405,5219277.57275939,M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19,105
-7906886.26539606,5215679.73001099,A32050,Porzio Park,42.36411904,-71.02876782,Boston,Yes,17,106
-7909761.60776823,5214434.65285104,D32012,Post Office Square,42.35585436,-71.05459746,Boston,Yes,19,107
-7916682.84590134,5221219.31583838,S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,13,108
-7912662.62820735,5213028.63090547,C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18,109
-7909603.9281623,5214254.58497082,A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19,110
-7920756.51253564,5223509.09663874,L32001,Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637,Arlington,Yes,11,111
-7917889.32765575,5219183.3054137,M32079,Raymond Park at Walden St,42.38736954,-71.12761001,Cambridge,Yes,19,112
-7905231.18724445,5222204.2071697,R32006,Revere City Hall,42.40741,-71.0139,Revere,Yes,11,113
-7904679.2652091,5222306.42585955,R32007,Revere Public Library,42.408088,-71.008942,Revere,Yes,11,114
-7918048.73605337,5219996.67364456,M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19,115
-7912639.33794348,5213293.47394715,C32058,Ring Rd,42.34827839,-71.08044855,Boston,Yes,3,116
-7915934.20006185,5211536.12616651,A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Boston,Yes,25,117
-7908122.35368224,5220539.20519478,H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11,118
-7912204.90917788,5216030.42845433,M32035,Rogers St & Land Blvd,42.36644674,-71.07654601,Cambridge,Yes,19,119
-7910697.96498587,5204695.35842338,C32097,Roseland St At Dorchester Ave,42.29116853,-71.0630089,Boston,Yes,12,120
-7911699.40180421,5216863.65340556,M32049,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,Cambridge,Yes,23,121
-7917905.35654923,5204078.9094055,C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15,122
-7910292.55053235,5213757.04203505,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,123
-7917955.59726181,5203963.82012891,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15,124
-7910661.24068586,5213915.65642609,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,125
-7916435.75002762,5200692.99413241,E32014,Ross Playground,42.2645666,-71.1145523,Boston,Yes,19,126
-7913237.70469678,5212598.74346825,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,127
-7909327.63318615,5214628.77617717,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,14,128
-7917004.81637775,5217219.63503101,M32087,Church St,42.37433925,-71.11966431,Cambridge,Yes,15,129
-7914278.23358071,5210719.027364,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,130
-7913893.98875475,5205579.16133862,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,131
-7912859.99877772,5208714.89443111,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10,132
-7918427.66760003,5222037.16189525,S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15,133
-7913478.36185115,5211481.06752133,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,26,134
-7912101.45106953,5213793.28662016,D32047,Clarendon St at Newbury St,42.35159662,-71.07561663,Boston,Yes,19,135
-7909991.65394873,5208680.07389758,C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,15,136
-7917536.44375674,5199344.31471842,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,137
-7916028.25389962,5210179.94182024,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15,138
-7920450.25369215,5211375.44635567,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,139
-7890402.44144051,5239479.90292326,T32001,Salem Ferry Landing,42.52189284,-70.88069111,Salem,Yes,11,140
-7909834.16692552,5215165.05833613,D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18,141
-7892200.12765219,5239797.26780861,T32012,Salem MBTA - Lower Level,42.523994,-70.89684,Salem,Yes,11,142
-7911599.88663222,5204122.41208343,C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17,143
-7892118.99021493,5239715.46054933,T32005,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,Salem,Yes,13,144
-7914884.68435543,5212063.98315699,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,14,145
-7891970.89410397,5236449.18720475,T32007,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,Salem,Yes,15,146
-7911799.03720125,5207465.2216611,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15,147
-7909316.71608369,5210575.48073618,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19,148
-7912197.74131587,5212760.86733792,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19,149
-7916934.74966386,5213807.6567584,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15,150
-7917182.72162196,5213785.86506989,K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,Yes,15,151
-7920569.68392104,5212083.76183782,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19,152
-7918461.84602329,5213436.0089157,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15,153
-7919265.47701205,5213305.55988933,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15,154
-7893249.98176986,5239214.55325393,T32013,Community Life Center,42.520136,-70.906271,Salem,Yes,9,155
-7916077.8189029,5220193.56398532,S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,Yes,15,156
-7915437.73739681,5219960.34801738,S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19,157
-7920814.54672577,5219688.13634568,M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877,Cambridge,Yes,19,158
-7910087.21505241,5215122.10902811,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23,159
-7907873.91195588,5213266.60447069,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,13,160
-7909171.91169007,5213704.09584746,C32010,Congress St at Sleeper St,42.3510045,-71.04930013,Boston,Yes,19,161
-7915766.0987252,5218621.0622387,S32004,Conway Park - Somerville Avenue,42.38363895,-71.10853672,Somerville,Yes,23,162
