,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
1030,2021-03-20,0,EST,Boston,MA,42.35657,-71.06516,OZONE,37,1,Good,2108
1033,2021-03-21,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,35,1,Good,2108
1032,2021-03-21,0,EST,Boston,MA,42.35657,-71.06516,OZONE,40,1,Good,2108
1035,2021-03-22,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
1034,2021-03-22,0,EST,Boston,MA,42.35657,-71.06516,OZONE,39,1,Good,2108
1037,2021-03-23,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,36,1,Good,2108
1036,2021-03-23,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
1038,2021-03-24,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
1039,2021-03-24,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,40,1,Good,2108
1040,2021-03-25,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
1041,2021-03-25,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,49,1,Good,2108
1043,2021-03-26,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,34,1,Good,2108
1042,2021-03-26,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1045,2021-03-27,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,15,1,Good,2108
1044,2021-03-27,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1047,2021-03-28,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
1046,2021-03-28,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
1049,2021-03-29,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,18,1,Good,2108
1048,2021-03-29,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
1051,2021-03-30,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1050,2021-03-30,0,EST,Boston,MA,42.35657,-71.06516,OZONE,43,1,Good,2108
1053,2021-03-31,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
1052,2021-03-31,0,EST,Boston,MA,42.35657,-71.06516,OZONE,43,1,Good,2108
958,2021-04-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
959,2021-04-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
960,2021-04-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
961,2021-04-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
962,2021-04-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,39,1,Good,2108
963,2021-04-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
965,2021-04-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,26,1,Good,2108
964,2021-04-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,39,1,Good,2108
966,2021-04-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,39,1,Good,2108
967,2021-04-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,26,1,Good,2108
968,2021-04-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
969,2021-04-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,18,1,Good,2108
970,2021-04-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
971,2021-04-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,20,1,Good,2108
972,2021-04-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
973,2021-04-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,18,1,Good,2108
974,2021-04-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
975,2021-04-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
976,2021-04-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,44,1,Good,2108
977,2021-04-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
978,2021-04-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
979,2021-04-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,36,1,Good,2108
980,2021-04-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
981,2021-04-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,24,1,Good,2108
982,2021-04-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
983,2021-04-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
984,2021-04-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
985,2021-04-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
986,2021-04-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
987,2021-04-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,32,1,Good,2108
988,2021-04-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
989,2021-04-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
990,2021-04-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
991,2021-04-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,16,1,Good,2108
992,2021-04-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
993,2021-04-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,25,1,Good,2108
994,2021-04-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
995,2021-04-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
996,2021-04-20,0,EST,Boston,MA,42.35657,-71.06516,OZONE,48,1,Good,2108
997,2021-04-20,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
998,2021-04-21,0,EST,Boston,MA,42.35657,-71.06516,OZONE,44,1,Good,2108
999,2021-04-21,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,32,1,Good,2108
1000,2021-04-22,0,EST,Boston,MA,42.35657,-71.06516,OZONE,36,1,Good,2108
1001,2021-04-22,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,16,1,Good,2108
1003,2021-04-23,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,22,1,Good,2108
1002,2021-04-23,0,EST,Boston,MA,42.35657,-71.06516,OZONE,43,1,Good,2108
1004,2021-04-24,0,EST,Boston,MA,42.35657,-71.06516,OZONE,54,2,Moderate,2108
1005,2021-04-24,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,42,1,Good,2108
1006,2021-04-25,0,EST,Boston,MA,42.35657,-71.06516,OZONE,49,1,Good,2108
1007,2021-04-25,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,47,1,Good,2108
1008,2021-04-26,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
1009,2021-04-26,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,17,1,Good,2108
1010,2021-04-27,0,EST,Boston,MA,42.35657,-71.06516,OZONE,39,1,Good,2108
1011,2021-04-27,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,21,1,Good,2108
1012,2021-04-28,0,EST,Boston,MA,42.35657,-71.06516,OZONE,36,1,Good,2108
1013,2021-04-28,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
