date,min,max,median,q1,q3,stdev,count
2022-06-26T00:00:00.000Z,15.6,38.7,23.5,20.1,26.1,3.635,625
2022-06-27T00:00:00.000Z,1.6,40.6,8.1,4.3,13.3,8.132,622
2022-06-28T00:00:00.000Z,1.3,12.8,3.35,2.5,5.6,2.621,594
2022-06-29T00:00:00.000Z,1.8,33.2,8.35,5.4,11.9,5.202,634
2022-06-30T00:00:00.000Z,3.5,11.3,5.9,4.9,7.2,1.483,626
2022-07-01T00:00:00.000Z,6.7,29.5,16.7,12.8,20.8,5.496,647
2022-07-02T00:00:00.000Z,6.4,31.7,13.7,9.15,19.85,6.685,640
2022-07-03T00:00:00.000Z,0.8,13.4,8.6,3.4,10.1,3.287,619
2022-07-04T00:00:00.000Z,2.3,21.2,4.8,4,7.3,3.743,596
2022-07-05T00:00:00.000Z,4.2,36.4,11,9.3,16.3,7.069,621
2022-07-06T00:00:00.000Z,0.4,20,6.15,4.1,10.2,5.087,622
2022-07-07T00:00:00.000Z,3.9,16.3,8.69,6,10.9,2.728,412
2022-07-08T00:00:00.000Z,3.5,11.8,6.5,5.7,7.8,1.746,583
2022-07-09T00:00:00.000Z,2.9,30.8,8.4,6.4,10.6,3.917,615
2022-07-10T00:00:00.000Z,0.9,13.6,3.3,1.8,8.1,3.613,600
2022-07-11T00:00:00.000Z,3.3,14.3,9.19,8.1,10.8,2.088,614
2022-07-12T00:00:00.000Z,3.8,19.2,8.65,5.2,11.7,3.569,606
2022-07-13T00:00:00.000Z,6.5,23.5,10.6,9.8,12.1,2.244,638
2022-07-14T00:00:00.000Z,8.4,100.8,15.4,13,18.6,6.311,622
2022-07-15T00:00:00.000Z,3.2,25,9.3,7.4,11.4,4.773,619
2022-07-16T00:00:00.000Z,7.5,17.6,12.2,10.3,13,1.668,654
2022-07-17T00:00:00.000Z,8.2,34.8,19.64,12.8,22,5.824,632
2022-07-18T00:00:00.000Z,11,124.6,16.85,13.3,24.4,7.914,622
2022-07-19T00:00:00.000Z,0.6,20.5,5.09,3.1,10.4,5.74,615
2022-07-20T00:00:00.000Z,11.8,39.6,22.3,19.89,29.3,5.156,649
2022-07-21T00:00:00.000Z,19,33.2,27.6,22,30.1,4.227,646
2022-07-22T00:00:00.000Z,10.4,26.5,17.25,14.3,21.95,4.39,636
2022-07-23T00:00:00.000Z,10.2,25.3,20.3,18.14,21.7,3.137,645
2022-07-24T00:00:00.000Z,7.6,27.3,17.89,13.9,22.3,4.89,626
2022-07-25T00:00:00.000Z,16.5,32.5,23,20.7,29,4.462,603
2022-07-26T00:00:00.000Z,2.1,21.7,4.65,3.7,5.8,2.258,602
2022-07-27T00:00:00.000Z,2.1,20.3,4.2,3.5,5.6,1.698,612
2022-07-28T00:00:00.000Z,6.3,48.7,13.05,9.7,21.1,6.556,632
2022-07-29T00:00:00.000Z,6.9,21.4,11.5,9.7,13.3,2.363,642
2022-07-30T00:00:00.000Z,1.1,19,4.8,2,15.5,6.26,626
2022-07-31T00:00:00.000Z,1.4,15.6,4.09,3.5,5.5,1.585,605
2022-08-01T00:00:00.000Z,4.3,15.8,7.8,6.5,8.9,1.621,577
2022-08-02T00:00:00.000Z,4.3,36.2,13.8,7.75,16.6,5.063,624
2022-08-03T00:00:00.000Z,2.9,17.1,6.2,5,8.5,3.533,640
2022-08-04T00:00:00.000Z,7.8,24.2,13.5,12,16.1,3.433,640
2022-08-05T00:00:00.000Z,3.9,29.9,19.2,13.1,22.4,5.898,661
2022-08-06T00:00:00.000Z,7.5,26.6,15.5,12.3,21.8,5.268,651
2022-08-07T00:00:00.000Z,2.2,13.6,8.8,7.9,10.2,1.711,640
2022-08-08T00:00:00.000Z,3.2,16.7,7.1,5.6,10.7,2.826,630
2022-08-09T00:00:00.000Z,2.6,45.3,9.6,6.4,15.1,6.055,640
2022-08-10T00:00:00.000Z,2.7,19.6,5.4,4.8,6.3,2.993,637
2022-08-11T00:00:00.000Z,3.4,24.1,14,7.5,16.6,4.772,659
2022-08-12T00:00:00.000Z,1.7,23.8,6.2,5.2,8.5,3.493,647
2022-08-13T00:00:00.000Z,1.4,11,3.4,3,4.7,1.619,625
2022-08-14T00:00:00.000Z,1.6,25,5.1,3.85,7,2.622,629
2022-08-15T00:00:00.000Z,3.2,38,6.5,5.2,8.8,3.59,631
2022-08-16T00:00:00.000Z,3.1,41,7.1,6.1,8.19,2.553,630
2022-08-17T00:00:00.000Z,4.1,38.8,9.9,8.2,12.2,4.741,610
2022-08-18T00:00:00.000Z,3,25.6,6.7,5.5,8.1,2.184,634
2022-08-19T00:00:00.000Z,7.4,44.8,10.1,9.4,11.1,3.618,638
2022-08-20T00:00:00.000Z,11.9,36,16.8,15,24.05,5.482,636
2022-08-21T00:00:00.000Z,9.4,28.6,18.1,12.8,20.75,4.378,656
2022-08-22T00:00:00.000Z,6.6,41,13.9,11.7,15.6,3.218,664
